cod_dep,depto,codigo,municipio,perdida_bruta_ha,recuperacion_bruta_ha,perdida_neta_ha,tipo_unidad,perdida_neta_calculada_ha,perdida_bruta_anual_ha,recuperacion_bruta_anual_ha,perdida_neta_anual_ha,clasificacion_perdida_neta_reportada
17,Petén,1702,San José,2412.3167145900,1835.3307007400,576.9860138500,Municipio,576.9860138500,603.0791786475,458.8326751850,144.2465034625,Pérdida
17,Petén,1703,San Benito,791.9674072400,1199.7333837200,-407.7659764800,Municipio,-407.7659764800,197.9918518100,299.9333459300,-101.9414941200,Ganancia
17,Petén,1704,San Andrés,36273.4674582700,27107.4770755500,9165.9903827200,Municipio,9165.9903827200,9068.3668645675,6776.8692688875,2291.4975956800,Pérdida
17,Petén,1705,La Libertad,25181.6884252600,17057.5055477800,8124.1828774800,Municipio,8124.1828774800,6295.4221063150,4264.3763869450,2031.0457193700,Pérdida
17,Petén,1706,San Francisco,2785.1632618200,2289.7213057700,495.4419560500,Municipio,495.4419560500,696.2908154550,572.4303264425,123.8604890125,Pérdida
17,Petén,1707,Santa Ana,4233.7967955600,5860.5798452100,-1626.7830496500,Municipio,-1626.7830496500,1058.4491988900,1465.1449613025,-406.6957624125,Ganancia
17,Petén,1708,Dolores,7108.2912476700,10293.3639892200,-3185.0727415500,Municipio,-3185.0727415500,1777.0728119175,2573.3409973050,-796.2681853875,Ganancia
17,Petén,1709,San Luis,12351.4146271600,13370.2092940100,-1018.7946668500,Municipio,-1018.7946668500,3087.8536567900,3342.5523235025,-254.6986667125,Ganancia
17,Petén,1710,Sayaxché,12525.8602300500,14289.3399833300,-1763.4797532800,Municipio,-1763.4797532800,3131.4650575125,3572.3349958325,-440.8699383200,Ganancia
17,Petén,1711,Melchor de Mencos,6936.8776264600,5207.6051296600,1729.2724968000,Municipio,1729.2724968000,1734.2194066150,1301.9012824150,432.3181242000,Pérdida
17,Petén,1712,Poptún,11893.9754961500,9060.0469402500,2833.9285559000,Municipio,2833.9285559000,2973.4938740375,2265.0117350625,708.4821389750,Pérdida
17,Petén,1713,Las Cruces,7597.6452696200,6721.5255335300,876.1197360900,Municipio,876.1197360900,1899.4113174050,1680.3813833825,219.0299340225,Pérdida
17,Petén,1714,El Chal,3186.8760894400,2925.5684728000,261.3076166400,Municipio,261.3076166400,796.7190223600,731.3921182000,65.3269041600,Pérdida
18,Izabal,1801,Puerto Barrios,2009.3675697500,94.0507412000,1915.3168285500,Municipio,1915.3168285500,502.3418924375,23.5126853000,478.8292071375,Pérdida
18,Izabal,1802,Livingston,7163.5344335300,2063.9356030400,5099.5988304900,Municipio,5099.5988304900,1790.8836083825,515.9839007600,1274.8997076225,Pérdida
18,Izabal,1803,El Estor,4835.8520286100,1979.9647572600,2855.8872713500,Municipio,2855.8872713500,1208.9630071525,494.9911893150,713.9718178375,Pérdida
18,Izabal,1804,Morales,1163.2272474200,947.8928114300,215.3344359900,Municipio,215.3344359900,290.8068118550,236.9732028575,53.8336089975,Pérdida
18,Izabal,1805,Los Amates,861.6970483600,377.7936209200,483.9034274400,Municipio,483.9034274400,215.4242620900,94.4484052300,120.9758568600,Pérdida
19,Zacapa,1901,Zacapa,596.1121036300,256.1819501700,339.9301534600,Municipio,339.9301534600,149.0280259075,64.0454875425,84.9825383650,Pérdida
19,Zacapa,1902,Estanzuela,0.6053564100,43.9380789100,-43.3327225000,Municipio,-43.3327225000,0.1513391025,10.9845197275,-10.8331806250,Ganancia
19,Zacapa,1903,Río Hondo,245.9562122900,86.8874190700,159.0687932200,Municipio,159.0687932200,61.4890530725,21.7218547675,39.7671983050,Pérdida
19,Zacapa,1904,Gualán,617.1798737400,1432.0827753600,-814.9029016200,Municipio,-814.9029016200,154.2949684350,358.0206938400,-203.7257254050,Ganancia
19,Zacapa,1905,Teculután,48.9116782800,57.9830105900,-9.0713323100,Municipio,-9.0713323100,12.2279195700,14.4957526475,-2.2678330775,Ganancia
19,Zacapa,1906,Usumatlán,17.1731635800,1.7277883300,15.4453752500,Municipio,15.4453752500,4.2932908950,0.4319470825,3.8613438125,Pérdida
19,Zacapa,1907,Cabañas,79.6194390500,165.6145039400,-85.9950648900,Municipio,-85.9950648900,19.9048597625,41.4036259850,-21.4987662225,Ganancia
19,Zacapa,1908,San Diego,190.4378036400,0.0000000000,190.4378036400,Municipio,190.4378036400,47.6094509100,0.0000000000,47.6094509100,Pérdida
19,Zacapa,1909,La Unión,190.9352530000,3.6308450100,187.3044079900,Municipio,187.3044079900,47.7338132500,0.9077112525,46.8261019975,Pérdida
