cod_dep,depto,codigo,municipio,perdida_bruta_ha,recuperacion_bruta_ha,perdida_neta_ha,tipo_unidad,grupo_territorial_id,proporcion_grupo_id,grupo_territorial_nombre,sitios_referencia,intervalo_proporcion_regeneracion_equivalente,proporcion_regeneracion_equivalente_min,proporcion_regeneracion_equivalente_central,proporcion_regeneracion_equivalente_max,tratamiento_intervalo,fundamento_vinculacion_sitios,saldo_ponderado_inferior_ha,saldo_ponderado_superior_ha,saldo_ponderado_central_ha,clasificacion_perdida_neta_reportada,clasificacion_ponderada,brecha_ponderacion_inferior_ha,brecha_ponderacion_superior_ha,proporcion_regeneracion_equivalente_critica
9,Quetzaltenango,921,Génova,274.7004740800,505.4491579900,-230.7486839100,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,-112.4735809403,-25.0308766081,-68.7522287742,Ganancia,Ganancia,118.2751029697,205.7178073019,0.5434779537
9,Quetzaltenango,922,Flores Costa Cuca,153.1426829900,150.2949785500,2.8477044400,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,38.0167294207,64.0177607099,51.0172450653,Pérdida,Pérdida,35.1690249807,61.1700562699,1.0189474357
10,Suchitepéquez,1001,Mazatenango,241.2400374000,194.2572303500,46.9828070500,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,92.4389989519,126.0454998025,109.2422493772,Pérdida,Pérdida,45.4561919019,79.0626927525,1.2418587301
10,Suchitepéquez,1002,Cuyotenango,188.7783153900,412.8861227300,-224.1078073400,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,-127.4924546212,-56.0631553889,-91.7778050050,Ganancia,Ganancia,96.6153527188,168.0446519511,0.4572164212
10,Suchitepéquez,1004,San Bernardino,19.7741502600,88.1529864000,-68.3788361400,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,-47.7510373224,-32.5005706752,-40.1258039988,Ganancia,Ganancia,20.6277988176,35.8782654648,0.2243162832
10,Suchitepéquez,1005,San José El Ídolo,190.8729451400,955.7824368400,-764.9094917000,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,-541.2564014794,-375.9060399061,-458.5812206928,Ganancia,Ganancia,223.6530902206,389.0034517939,0.1997033402
10,Suchitepéquez,1006,Santo Domingo Suchitepéquez,136.4899904100,898.5997205000,-762.1097300900,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,-551.8373954930,-396.3796438465,-474.1085196697,Ganancia,Ganancia,210.2723345970,365.7300862435,0.1518918683
10,Suchitepéquez,1007,San Lorenzo,126.7226227900,839.0529908000,-712.3303680100,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,-515.9919681628,-370.8358007544,-443.4138844586,Ganancia,Ganancia,196.3383998472,341.4945672556,0.1510305358
10,Suchitepéquez,1010,San Antonio Suchitepéquez,113.6091682700,346.9771191100,-233.3679508400,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,-152.1753049683,-92.1482633622,-122.1617841652,Ganancia,Ganancia,81.1926458717,141.2196874778,0.3274255333
10,Suchitepéquez,1012,San Gabriel,12.4321572400,9.7008784600,2.7312787800,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,5.0012843396,6.6795363132,5.8404103264,Pérdida,Pérdida,2.2700055596,3.9482575332,1.2815496340
