cod_dep,depto,codigo,municipio,perdida_bruta_ha,ganancia_bruta_ha,balance_neto_cobertura_ha,tipo_unidad
13,Huehuetenango,1323,San Juan Ixcoy,133.33364727,77.91815582,55.415491450000005,Municipio
13,Huehuetenango,1324,San Antonio Huista,2.5757253,0.17235144,2.4033738600000003,Municipio
13,Huehuetenango,1325,San Sebastián Coatán,41.11007201,44.25215042,-3.1420784099999963,Municipio
13,Huehuetenango,1326,Barillas,3000.8787835800003,2906.96859411,93.9101894700002,Municipio
13,Huehuetenango,1327,Aguacatán,29.24425595,0.4631563,28.78109965,Municipio
13,Huehuetenango,1328,San Rafael Pétzal,4.93943721,0.74918169,4.19025552,Municipio
13,Huehuetenango,1329,San Gaspar Ixchil,4.22827228,0.63119454,3.59707774,Municipio
13,Huehuetenango,1330,Santiago Chimaltenango,7.38277262,5.51863596,1.86413666,Municipio
13,Huehuetenango,1331,Santa Ana Huista,9.56248776,0.25846813,9.30401963,Municipio
13,Huehuetenango,1332,Unión Cantinil,8.7918464,0.0,8.7918464,Municipio
13,Huehuetenango,1333,Petatán,0.61277978,0.0,0.61277978,Municipio
14,Quiché,1401,Santa Cruz del Quiché,259.05225441,0.25912707,258.79312734,Municipio
14,Quiché,1402,Chiché,375.93274016,0.0,375.93274016,Municipio
14,Quiché,1403,Chinique,466.39023962,0.08637095,466.30386867,Municipio
14,Quiché,1404,Zacualpa,197.56452721,1.58847799,195.97604922,Municipio
14,Quiché,1405,Chajul,1002.1215214,1993.1186264,-990.997105,Municipio
14,Quiché,1406,Chichicastenango,127.1247567,1.03760867,126.08714803,Municipio
14,Quiché,1407,Patzité,22.47890965,0.0,22.47890965,Municipio
14,Quiché,1408,San Antonio Ilotenango,25.91607744,0.08635981,25.82971763,Municipio
14,Quiché,1409,San Pedro Jocopilas,1508.67613198,6.95530231,1501.72082967,Municipio
14,Quiché,1410,Cunén,267.89895457,285.90340299,-18.004448420000017,Municipio
14,Quiché,1411,San Juan Cotzal,264.27032833,47.64193051,216.62839782,Municipio
14,Quiché,1412,Joyabaj,223.44211571,21.47119621,201.9709195,Municipio
14,Quiché,1413,Nebaj,974.15084996,1293.40228337,-319.2514334100001,Municipio
14,Quiché,1414,San Andrés Sajcabajá,177.86271231,132.52495253,45.33775978,Municipio
14,Quiché,1415,Uspantán,1963.25546217,720.7533896,1242.50207257,Municipio
14,Quiché,1416,Sacapulas,227.76046922,136.22406601,91.53640321,Municipio
14,Quiché,1417,San Bartolomé Jocotenango,342.91846948,168.01147526,174.90699422,Municipio
14,Quiché,1418,Canillá,105.95888909,341.45910778,-235.50021869,Municipio
14,Quiché,1419,Chicamán,883.02358821,78.2356461,804.7879421099999,Municipio
14,Quiché,1420,Ixcán,3420.63280275,4393.40433893,-972.7715361799995,Municipio
14,Quiché,1421,Pachalum,6.82734128,0.25930019,6.56804109,Municipio
15,Baja Verapaz,1501,Salamá,849.1907205,199.22604758,649.96467292,Municipio
15,Baja Verapaz,1502,San Miguel Chicaj,52.4261172,38.62090209,13.80521511,Municipio
15,Baja Verapaz,1503,Rabinal,153.6873849,15.84740583,137.83997907000003,Municipio
15,Baja Verapaz,1504,Cubulco,1021.90004339,9.83929896,1012.06074443,Municipio
15,Baja Verapaz,1505,Granados,150.4384114,3.31556741,147.12284399,Municipio
15,Baja Verapaz,1506,El Chol,36.2148505,2.27604102,33.93880948,Municipio
15,Baja Verapaz,1507,San Jerónimo,684.21646449,30.64331717,653.57314732,Municipio
15,Baja Verapaz,1508,Purulhá,867.8568792599999,30.60980293,837.2470763299999,Municipio
16,Alta Verapaz,1601,Cobán,6607.67211423,925.77287686,5681.89923737,Municipio
16,Alta Verapaz,1602,Santa Cruz Verapaz,205.00426863,408.72836492,-203.72409629,Municipio
16,Alta Verapaz,1603,San Cristóbal Verapaz,1059.41397052,252.10427853,807.30969199,Municipio
16,Alta Verapaz,1604,Tactic,174.47970505,58.1497823,116.32992275,Municipio
16,Alta Verapaz,1605,Tamahú,101.65131745,3.19228191,98.45903554,Municipio
16,Alta Verapaz,1606,Tucurú,319.72626169,14.58086164,305.14540005,Municipio
16,Alta Verapaz,1607,Panzós,1981.16053139,54.60133638,1926.55919501,Municipio
16,Alta Verapaz,1608,Senahú,3231.68781765,91.47591874,3140.21189891,Municipio
16,Alta Verapaz,1609,San Pedro Carchá,3369.29386351,1177.18903913,2192.10482438,Municipio
16,Alta Verapaz,1610,San Juan Chamelco,262.14938085,379.84291258,-117.69353173000002,Municipio
16,Alta Verapaz,1611,Lanquín,615.3353952499999,1570.83572591,-955.50033066,Municipio
16,Alta Verapaz,1612,Cahabón,3064.56902161,1419.72404841,1644.8449732,Municipio
16,Alta Verapaz,1613,Chisec,3481.51455865,3339.82329957,141.69125907999978,Municipio
16,Alta Verapaz,1614,Chahal,1896.79599483,1563.95044719,332.84554763999995,Municipio
16,Alta Verapaz,1615,Fray Bartolomé de las Casas,3585.51089686,2061.83794143,1523.67295543,Municipio
16,Alta Verapaz,1616,Santa Catalina la Tinta,466.44628978,4.48817958,461.9581102,Municipio
16,Alta Verapaz,1617,Raxruhá,1786.21499793,1124.38439544,661.83060249,Municipio
17,Petén,1701,Flores,7237.49764799,8226.32626797,-988.8286199800004,Municipio
17,Petén,1702,San José,2412.31671459,1835.33070074,576.9860138500001,Municipio
17,Petén,1703,San Benito,791.96740724,1199.73338372,-407.7659764800002,Municipio
17,Petén,1704,San Andrés,36273.46745827,27107.477075550003,9165.99038272,Municipio
17,Petén,1705,La Libertad,25181.688425260003,17057.505547779998,8124.182877480005,Municipio
17,Petén,1706,San Francisco,2785.16326182,2289.72130577,495.44195605,Municipio
17,Petén,1707,Santa Ana,4233.79679556,5860.57984521,-1626.78304965,Municipio
17,Petén,1708,Dolores,7108.29124767,10293.36398922,-3185.0727415500005,Municipio
17,Petén,1709,San Luis,12351.41462716,13370.20929401,-1018.794666849999,Municipio
